aaaaaaand                                    3027 lines
pillow-lined                                 11114 lines
pillowcase                                   11335 lines
pillows                                      21675 lines
pimples                                      14961 lines
pimply                                       3636 lines
pin                                          15862 lines
pince                                        14759 lines
pincers                                      19236 lines
pinch                                        1284 lines
pincushion                                   7027 lines
pine                                         13874 lines
pining                                       16216 lines
pink                                         17336 lines
pinned                                       11338 lines
pinning                                      17062 lines
pinpnicks                                    10694 lines
pinstriped                                   17676 lines
pint-sized                                   15581 lines
pints                                        14691 lines
pion                                         8376 lines
pions                                        9295 lines
pipe                                         14020 lines
pistons                                      4862 lines
pit                                          20639 lines
pitch                                        19384 lines
pitch-darkness                               5040 lines
pitched                                      17767 lines
pitching                                     11092 lines
pitied                                       20759 lines
pitiful                                      4060 lines
pitiless                                     20043 lines
pity                                         10618 lines
place                                        21809 lines
placed                                       22070 lines
places                                       7630 lines
placidly                                     2210 lines
placing                                      18297 lines
plain                                        15458 lines
plained                                      1572 lines
plainly                                      21306 lines
plains                                       14989 lines
plaintively                                  14217 lines
plaints                                      8394 lines
plait                                        12454 lines
plan                                         21770 lines
planes                                       3116 lines
planet                                       6019 lines
planetary                                    17491 lines
planets                                      17503 lines
plank                                        13334 lines
planks                                       9850 lines
planned                                      20790 lines
planning                                     11947 lines
plans                                        12864 lines
plant                                        2360 lines
planted                                      20519 lines
plants                                       20520 lines
plastered                                    10329 lines
plate                                        21756 lines
plates                                       12591 lines
platform                                     22210 lines
platforms                                    4810 lines
platter                                      16186 lines
plauding                                     8577 lines
play                                         22201 lines
play-by-play                                 3133 lines
play-byplay                                  2690 lines
played                                       21713 lines
player                                       16734 lines
players                                      5726 lines
playfully                                    9823 lines
playing                                      21508 lines
playstation                                  645 lines
plea                                         21492 lines
pleaded                                      19660 lines
pleadingly                                   6583 lines
pleas                                        713 lines
pleasant                                     7649 lines
pleasantly                                   22207 lines
please                                       21843 lines
please-men                                   4696 lines
pleased                                      22076 lines
pleasure                                     21939 lines
pleasures                                    21435 lines
plentiful                                    19852 lines
plenty                                       19155 lines
plinth                                       19315 lines
ploded                                       5081 lines
plot                                         17045 lines
plots                                        8410 lines
plotting                                     8555 lines
ploughed                                     3130 lines
plowing                                      11806 lines
ploy                                         3072 lines
pluck                                        12770 lines
plucked                                      14854 lines
plucking                                     14834 lines
plug                                         14039 lines
plugged                                      1127 lines
plugs                                        4759 lines
plum                                         879 lines
plumage                                      21011 lines
plummeted                                    10981 lines
plump                                        18207 lines
plunged                                      20575 lines
plunging                                     8112 lines
plus                                         7964 lines
plus-fours                                   2215 lines
pluto                                        11209 lines
po                                           5672 lines
pocket                                       21520 lines
pocketed                                     12284 lines
pocketful                                    16503 lines
pocketing                                    14311 lines
pockets                                      16455 lines
poem                                         19163 lines
point                                        22264 lines
point-blank                                  21421 lines
pointed                                      21096 lines
pointedly                                    12560 lines
pointers                                     10591 lines
pointing                                     21572 lines
pointless                                    17686 lines
points                                       19274 lines
pointy                                       5882 lines
poised                                       15998 lines
poison                                       11813 lines
poisoned                                     81 lines
poisoning                                    13595 lines
poisonous                                    21048 lines
poisonous-looking                            19484 lines
poke                                         16265 lines
poked                                        14812 lines
poker-stiff                                  2549 lines
poking                                       15003 lines
pole                                         7427 lines
poles                                        2260 lines
poliakoff                                    7766 lines
police                                       19690 lines
policemen                                    6077 lines
polish                                       17433 lines
polished                                     18156 lines
polishing                                    4496 lines
polite                                       21965 lines
politely                                     18889 lines
poltergeist                                  14231 lines
polyjuice                                    20902 lines
pomfrey                                      21560 lines
pomfrey's                                    21562 lines
pompous                                      21420 lines
pompously                                    4162 lines
poncho                                       2194 lines
ponder                                       13982 lines
ponds                                        14695 lines
pontner                                      2502 lines
ponytail                                     7967 lines
pool                                         13906 lines
pooled                                       2515 lines
pools                                        13882 lines
poor                                         19914 lines
pop                                          10118 lines
popped                                       20671 lines
popping                                      10432 lines
poppy                                        21555 lines
popular                                      18361 lines
popularity                                   16015 lines
por                                          7439 lines
poring                                       14699 lines
pork                                         12590 lines
porky                                        6095 lines
porridge                                     10165 lines
porskoff                                     3072 lines
portant                                      5014 lines
ported                                       3142 lines
portents                                     5962 lines
portholes                                    12216 lines
porting                                      2354 lines
portions                                     7034 lines
portkey                                      21018 lines
portkeys                                     4267 lines
portrait                                     17105 lines
portraits                                    14114 lines
portunity                                    783 lines
posed                                        1543 lines
posi                                         2755 lines
posing                                       10734 lines
position                                     20701 lines
positioned                                   17814 lines
positive                                     14400 lines
positively                                   11424 lines
posses                                       3105 lines
possess                                      20619 lines
possessed                                    21894 lines
possession                                   19912 lines
possessions                                  1028 lines
possi                                        1069 lines
possibilities                                17631 lines
possibility                                  10725 lines
possible                                     21865 lines
possibly                                     21710 lines
post                                         18560 lines
posted                                       8799 lines
poster                                       5723 lines
posters                                      1585 lines
postman                                      816 lines
postpone                                     21030 lines
posts                                        3156 lines
postscript                                   995 lines
pot                                          9209 lines
potato                                       16519 lines
potato-filled                                15183 lines
potatoes                                     5913 lines
potential                                    14511 lines
potentially                                  6084 lines
potion                                       21668 lines
potion-making                                4586 lines
potions                                      20878 lines
pots                                         12623 lines
potter                                       22097 lines
potter's                                     22080 lines
pottering                                    105 lines
potters                                      19933 lines
pouchy                                       14158 lines
poufs                                        5959 lines
pound                                        15567 lines
poundage                                     693 lines
pounded                                      14901 lines
pounding                                     20369 lines
poured                                       20709 lines
pouring                                      21849 lines
pours                                        18170 lines
powder                                       19717 lines
powder-blue                                  7951 lines
powdered                                     15572 lines
power                                        21458 lines
power-hungry                                 15904 lines
powerful                                     20773 lines
powerfully                                   20139 lines
powerless                                    19839 lines
powers                                       21435 lines
practical                                    8547 lines
practically                                  5150 lines
practice                                     17446 lines
practiced                                    18984 lines
practicing                                   18851 lines
praise                                       21780 lines
prat                                         15223 lines
praying                                      10679 lines
pre                                          12350 lines
pre-bookings                                 2188 lines
preamble                                     17318 lines
prearranged                                  1976 lines
precarious                                   9172 lines
precaution                                   13857 lines
precautions                                  15279 lines
precede                                      2854 lines
preceded                                     21108 lines
precedes                                     635 lines
precious                                     3986 lines
precisely                                    15359 lines
predictably                                  8851 lines
predicting                                   11208 lines
prediction                                   5976 lines
predictions                                  16332 lines
preening                                     2672 lines
prefect                                      17242 lines
prefects                                     15058 lines
prefer                                       20358 lines
preferable                                   21867 lines
preferably                                   20506 lines
preference                                   19855 lines
preferred                                    17916 lines
preferring                                   21801 lines
prejudice                                    18466 lines
prejudiced                                   17654 lines
premonition                                  17556 lines
preoccupation                                5790 lines
preoccupied                                  6860 lines
preparation                                  7043 lines
prepare                                      18555 lines
prepared                                     21621 lines
preparing                                    11757 lines
preposterous                                 21428 lines
presence                                     19892 lines
present                                      20527 lines
present-day                                  17807 lines
presentation                                 21521 lines
presenting                                   3035 lines
presently                                    1457 lines
presents                                     12418 lines
press                                        15559 lines
pressed                                      21445 lines
pressing                                     20350 lines
pressure                                     20019 lines
presumably                                   18100 lines
pretence                                     2663 lines
pretend                                      22086 lines
pretended                                    21829 lines
pretending                                   18607 lines
pretense                                     6430 lines
pretenses                                    17046 lines
pretext                                      15644 lines
pretty                                       22170 lines
pretty-boy                                   7900 lines
prevent                                      21472 lines
prevented                                    19738 lines
preventing                                   15649 lines
previous                                     21978 lines
previously                                   1554 lines
prey                                         3033 lines
price                                        1502 lines
pricked                                      140 lines
prickling                                    21647 lines
pride                                        21533 lines
prided                                       2918 lines
prime                                        2737 lines
principles                                   15924 lines
pringle                                      18749 lines
print                                        18561 lines
printed                                      4337 lines
prior                                        3969 lines
priori                                       21087 lines
priority                                     18543 lines
prised                                       11016 lines
prising                                      4299 lines
prison                                       4463 lines
prisoners                                    20739 lines
pritchard                                    5382 lines
privacy                                      9993 lines
private                                      22005 lines
privately                                    14085 lines
privates                                     2395 lines
prive                                        8505 lines
privet                                       21924 lines
privilege                                    14271 lines
prize                                        16456 lines
prized                                       5250 lines
pro                                          8338 lines
proached                                     2138 lines
probable                                     18288 lines
probably                                     19088 lines
problem                                      16922 lines
problems                                     10422 lines
procedure                                    10523 lines
proceed                                      7065 lines
proceeded                                    19099 lines
proceeds                                     6783 lines
process                                      10636 lines
procession                                   12509 lines
procured                                     10331 lines
prod                                         13534 lines
prodded                                      18206 lines
prodding                                     18220 lines
products                                     1543 lines
profesor                                     11665 lines
professor                                    21832 lines
professors                                   21257 lines
profile                                      9581 lines
profusely                                    4778 lines
program                                      2852 lines
programs                                     2705 lines
progress                                     19117 lines
progressed                                   11793 lines
project                                      7047 lines
prolong                                      16319 lines
prominence                                   9423 lines
prominent                                    13181 lines
promise                                      21611 lines
promised                                     19562 lines
promote                                      21897 lines
promoted                                     12564 lines
promotion                                    6751 lines
prompt                                       19652 lines
prompted                                     13020 lines
promptly                                     18238 lines
pronounce                                    18001 lines
pronounced                                   17848 lines
pronto                                       962 lines
proof                                        13748 lines
proofs                                       19664 lines
prop                                         3606 lines
propel                                       15182 lines
propelled                                    14982 lines
proper                                       21533 lines
properly                                     21105 lines
properties                                   13333 lines
property                                     14358 lines
prophet                                      21989 lines
prophet's                                    16227 lines
prophets                                     15757 lines
proportioned                                 12622 lines
proportions                                  2284 lines
proposed                                     7050 lines
propped                                      4455 lines
proscribed                                   2609 lines
prosecuted                                   13770 lines
prospect                                     21421 lines
prospect's                                   14860 lines
prospector                                   18189 lines
prostrate                                    19780 lines
prostrating                                  4056 lines
protect                                      12618 lines
protected                                    19938 lines
protection                                   21285 lines
protective                                   12616 lines
protest                                      15200 lines
protracted                                   209 lines
protruded                                    5206 lines
protruding                                   19576 lines
proud                                        20020 lines
proudly                                      5846 lines
proval                                       3348 lines
prove                                        20859 lines
proved                                       19895 lines
proves                                       13112 lines
provide                                      19764 lines
provided                                     19918 lines
providing                                    16673 lines
proving                                      4712 lines
provoke                                      15562 lines
prowess                                      10448 lines
prowl                                        14289 lines
prowled                                      21141 lines
prowling                                     20185 lines
pruning                                      10416 lines
pry                                          20336 lines
pub                                          13651 lines
public                                       20798 lines
publicity                                    9120 lines
published                                    9490 lines
pud                                          5463 lines
pudding                                      7576 lines
puddings                                     16503 lines
puddlemere                                   2404 lines
puddles                                      14695 lines
pudgy                                        4969 lines
puffed                                       2479 lines
puffy-eyed                                   17139 lines
pug-like                                     15427 lines
puke                                         5916 lines
pull                                         15661 lines
pulled                                       22244 lines
pulling                                      22210 lines
pulp                                         5036 lines
pulsing                                      14266 lines
pumping                                      10650 lines
pumpkin                                      20621 lines
pumpkins                                     8510 lines
punch                                        10152 lines
punctuality                                  1115 lines
punctuated                                   5828 lines
punctuating                                  13125 lines
punctured                                    9199 lines
punish                                       20816 lines
punished                                     6357 lines
punishment                                   7060 lines
punishments                                  14545 lines
pupils                                       19551 lines
puppeteers                                   3430 lines
puppy                                        693 lines
purchased                                    2676 lines
purchases                                    2722 lines
pure                                         19856 lines
pure-blood                                   21462 lines
pureblood                                    13828 lines
purebloods                                   2918 lines
purity                                       21460 lines
purple                                       21221 lines
purple-and-gilt                              2744 lines
purple-carpeted                              3366 lines
purpled                                      1231 lines
purpling                                     21415 lines
purpose                                      19907 lines
purposes                                     12600 lines
purr                                         12937 lines
purring                                      14767 lines
pursed                                       1060 lines
pursing                                      18729 lines
pursue                                       16586 lines
pursued                                      1777 lines
pus                                          16524 lines
push                                         22224 lines
pushed                                       22125 lines
pushing                                      20311 lines
put                                          22212 lines
puts                                         17480 lines
putter                                       7850 lines
putting                                      21029 lines
puzzled                                      16410 lines
pyramid                                      2312 lines
python                                       1377 lines
quaffie                                      3226 lines
quaffle                                      3234 lines
quaffles                                     2219 lines
quailing                                     13385 lines
quake                                        9880 lines
qualified                                    574 lines
qualities                                    21852 lines
quality                                      8510 lines
quantities                                   7966 lines
quantity                                     12414 lines
quarter                                      15089 lines
quarters                                     7951 lines
quash                                        16614 lines
quavering                                    21036 lines
queaked                                      14863 lines
queasy                                       10381 lines
query                                        7757 lines
question                                     21339 lines
questioned                                   10116 lines
questioning                                  21182 lines
questions                                    21707 lines
queue                                        4268 lines
queued                                       6293 lines
queuing                                      11721 lines
quibbling                                    4313 lines
quick                                        20851 lines
quick-quotes                                 13672 lines
quickened                                    16940 lines
quicker                                      17011 lines
quickest                                     19120 lines
quickly                                      21668 lines
quidditch                                    22151 lines
quidditch-playing                            17993 lines
quiedy                                       20970 lines
quiet                                        22024 lines
quieted                                      5625 lines
quieter                                      13124 lines
quietly                                      21819 lines
quietus                                      3352 lines
quigley                                      3347 lines
quill                                        22067 lines
quills                                       20629 lines
quilt                                        7983 lines
quires                                       8106 lines
quirke                                       5386 lines
quite                                        22046 lines
quivered                                     20151 lines
quivering                                    22080 lines
quizzical                                    19368 lines
quoted                                       16108 lines
quoting                                      11748 lines
r-really                                     288 lines
rabbit                                       2330 lines
raccoon                                      7163 lines
races                                        19253 lines
racing                                       11252 lines
rack                                         4966 lines
racket                                       14141 lines
racketing                                    2818 lines
radar                                        16571 lines
radiate                                      21382 lines
radiated                                     20589 lines
rafters                                      17165 lines
rag                                          15674 lines
rage                                         13690 lines
raged                                        1452 lines
ragged                                       19714 lines
raging                                       5730 lines
rain                                         8008 lines
rain-washed                                  4789 lines
rainbow                                      3000 lines
rained                                       3003 lines
raise                                        21843 lines
raised                                       21890 lines
raising                                      20428 lines
rally                                        2198 lines
rambling                                     5966 lines
rampage                                      7176 lines
rampaged                                     11115 lines
rampaging                                    6728 lines
ran                                          21617 lines
random                                       21413 lines
rang                                         17472 lines
range                                        19429 lines
ranged                                       14902 lines
rangements                                   7675 lines
ranges                                       13299 lines
ranks                                        19991 lines
ransacked                                    8519 lines
rant                                         16765 lines
rapid                                        18712 lines
rapidly                                      15157 lines
rapt                                         19552 lines
raptly                                       5623 lines
rare                                         21106 lines
rarely                                       18083 lines
rassed                                       2863 lines
rat                                          14869 lines
rate                                         12338 lines
rather                                       19750 lines
rats                                         19883 lines
rattled                                      6707 lines
rattling                                     18939 lines
raucous                                      3375 lines
ravenclaw                                    18695 lines
ravenclaws                                   8925 lines
raving                                       21309 lines
raw                                          19464 lines
ray                                          10978 lines
rays                                         5963 lines
razor                                        19213 lines
re                                           17225 lines
reach                                        20556 lines
reached                                      21933 lines
reaches                                      19252 lines
reaching                                     16753 lines
reacted                                      10548 lines
reaction                                     18583 lines
reactions                                    4371 lines
read                                         21821 lines
readers                                      13647 lines
reading                                      21360 lines
readjusted                                   12505 lines
ready                                        21621 lines
real                                         21808 lines
realization                                  20066 lines
realize                                      20519 lines
realized                                     21362 lines
realizing                                    8428 lines
really                                       22143 lines
reappearance                                 7944 lines
reappeared                                   21113 lines
reappearing                                  1845 lines
reared                                       10747 lines
rearing                                      9849 lines
rearranging                                  17456 lines
reason                                       20085 lines
reasonably                                   4425 lines
reasoning                                    9289 lines
reasons                                      21725 lines
reassurance                                  4326 lines
reassure                                     8939 lines
reassured                                    1360 lines
reassuring                                   7250 lines
reassuringly                                 3697 lines
reattached                                   1680 lines
reawaken                                     21119 lines
reawoken                                     17451 lines
rebel                                        9221 lines
rebellion                                    11060 lines
rebellions                                   13613 lines
rebels                                       18805 lines
rebirth                                      21335 lines
rebirthing                                   19798 lines
rebounded                                    19829 lines
rebounding                                   3767 lines
rebuild                                      21466 lines
rebuilding                                   17051 lines
recall                                       19752 lines
recalled                                     2904 lines
recalling                                    20843 lines
recede                                       899 lines
receive                                      16667 lines
received                                     16463 lines
receiving                                    8930 lines
recent                                       21127 lines
recently                                     18593 lines
recipes                                      16603 lines
recited                                      19134 lines
reck                                         4572 lines
recklessly                                   12320 lines
reckon                                       21944 lines
reckon'll                                    7931 lines
reckons                                      18456 lines
recog                                        3831 lines
recognizable                                 8897 lines
recognize                                    21565 lines
recognized                                   20129 lines
recoil                                       6369 lines
recoiled                                     21495 lines
recollections                                21684 lines
recommenced                                  3234 lines
record                                       9663 lines
recorder                                     1236 lines
recording                                    16564 lines
recounting                                   14522 lines
recover                                      15047 lines
recovered                                    20752 lines
recovering                                   4162 lines
recovery                                     20605 lines
recrossed                                    7483 lines
recruiting                                   6782 lines
rectangular                                  13881 lines
rection                                      1293 lines
red                                          20577 lines
red-haired                                   1466 lines
red-handed                                   3983 lines
redden                                       6490 lines
reddened                                     21365 lines
reddening                                    10142 lines
reddish                                      19464 lines
redheads                                     2046 lines
reduced                                      15568 lines
reducio                                      18963 lines
reduction                                    12521 lines
reductor                                     19049 lines
reeling                                      18428 lines
reemerged                                    3831 lines
reentered                                    19789 lines
refer                                        10577 lines
referee                                      3179 lines
reference                                    21484 lines
referring                                    21375 lines
refilling                                    119 lines
refills                                      4586 lines
reflected                                    14903 lines
reflecting                                   10339 lines
reflection                                   3372 lines
reflections                                  20707 lines
reflexes                                     20073 lines
reflising                                    4333 lines
reforming                                    20111 lines
refrained                                    18729 lines
refuge                                       866 lines
refuse                                       22175 lines
refused                                      11731 lines
refuses                                      15763 lines
refusing                                     21421 lines
regain                                       19872 lines
regained                                     11231 lines
regaining                                    21437 lines
regard                                       18626 lines
regarded                                     7206 lines
regarding                                    15715 lines
regenerate                                   20552 lines
regeneration                                 19892 lines
regime                                       701 lines
register                                     14726 lines
registered                                   3757 lines
registry                                     2609 lines
regret                                       18312 lines
regrettable                                  21248 lines
regretting                                   1757 lines
regrew                                       20670 lines
regrown                                      484 lines
regular                                      16612 lines
regularly                                    18597 lines
regulation                                   13603 lines
regurgitate                                  21107 lines
regurgitated                                 11282 lines
reign                                        13295 lines
reignite                                     8369 lines
rein                                         21481 lines
reindeer                                     12935 lines
reindeer's                                   12955 lines
reinstate                                    15878 lines
rejoin                                       13571 lines
rejoined                                     17967 lines
relashio                                     15014 lines
related                                      9391 lines
relating                                     17999 lines
relation                                     10438 lines
relations                                    19941 lines
relatives                                    13767 lines
relaxed                                      17981 lines
relaxing                                     11650 lines
release                                      10041 lines
released                                     20853 lines
releasing                                    4287 lines
reliable                                     18365 lines
relic                                        18598 lines
relief                                       21047 lines
relieved                                     15136 lines
relish                                       9191 lines
relive                                       21180 lines
relived                                      4959 lines
reliving                                     21196 lines
reluctant                                    14213 lines
reluctantly                                  18587 lines
rely                                         12579 lines
remain                                       21488 lines
remainder                                    784 lines
remained                                     21893 lines
remaining                                    21462 lines
remains                                      19789 lines
remark                                       1230 lines
remarkable                                   7046 lines
remarkably                                   12553 lines
remarks                                      9622 lines
remedy                                       5811 lines
remem                                        9324 lines
remember                                     22151 lines
remembered                                   22046 lines
remembering                                  17718 lines
remind                                       18883 lines
reminded                                     18540 lines
reminder                                     17533 lines
reminding                                    4212 lines
reminisced                                   18785 lines
reminiscent                                  5479 lines
remorse                                      17893 lines
remotely                                     15970 lines
removal                                      1054 lines
remove                                       21428 lines
